ID,seqs
0,F-Sh-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-Sh-Sh-Sh-Sh
1,F-Sh-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-Sh-Sh-Sh-Sh
2,F-Sh-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-Sh-Sh-Sh-Sh
3,F-Sh-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-Sh-Sh-Sh-Sh
4,Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh
5,Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh
6,Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh
7,F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-F-Sh-Sh-Sh-Sh
8,Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh
9,Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh-Sh
